filename,#author,#cmt,changeloc
src/main/java/org/junit/experimental/results/PrintableResult.java,4,9,168
src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,8,31,881
src/main/java/org/junit/runner/RunWith.java,3,3,26
src/test/java/org/junit/tests/running/classes/ParentRunnerTest.java,8,20,815
src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java,4,6,174
src/main/java/junit/framework/Test.java,1,1,17
src/test/java/org/junit/tests/description/SuiteDescriptionTest.java,2,2,55
src/main/java/junit/framework/package-info.java,0,0,0
src/test/java/org/junit/tests/experimental/max/DescriptionTest.java,5,8,427
src/main/java/org/junit/runner/manipulation/package-info.java,0,0,0
src/test/java/org/junit/tests/junit3compatibility/JUnit38ClassRunnerTest.java,3,10,261
src/main/java/org/junit/internal/runners/package-info.java,0,0,0
src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java,10,23,593
src/main/java/org/junit/runner/manipulation/Sorter.java,7,9,99
src/main/java/junit/extensions/package-info.java,0,0,0
src/main/java/org/junit/runners/model/FrameworkMethod.java,11,30,726
src/test/java/junit/tests/runner/StackFilterTest.java,1,1,70
src/test/java/org/junit/tests/experimental/categories/CategoryValidatorTest.java,1,3,61
src/test/java/junit/tests/framework/TestCaseTest.java,1,1,367
src/test/java/org/junit/tests/listening/ListenerTest.java,1,1,51
src/test/java/org/junit/tests/validation/BadlyFormedClassesTest.java,4,5,310
src/test/java/org/junit/tests/TestSystem.java,3,3,38
src/test/java/junit/tests/extensions/package-info.java,0,0,0
src/test/java/org/junit/tests/experimental/results/PrintableResultTest.java,5,7,76
src/main/java/junit/framework/ComparisonCompactor.java,1,1,121
src/main/java/org/junit/runners/package-info.java,1,2,4
src/test/java/org/junit/tests/experimental/theories/TestedOnSupplierTest.java,3,4,62
src/test/java/org/junit/runner/JUnitCoreTest.java,1,2,22
src/test/java/org/junit/samples/money/MoneyTest.java,1,1,335
src/test/java/org/junit/tests/experimental/rules/VerifierRuleTest.java,6,8,278
src/test/java/org/junit/tests/running/core/SystemExitTest.java,1,1,35
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/MethodCall.java,1,1,91
src/main/java/junit/extensions/RepeatedTest.java,1,1,49
src/test/java/junit/tests/framework/NoTestCaseClass.java,1,1,5
src/test/java/org/junit/tests/assertion/AssertionTest.java,12,31,1369
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/ReguessableValue.java,2,2,12
src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java,4,4,31
src/test/java/org/junit/tests/experimental/rules/ExpectedExceptionTest.java,6,15,1281
src/test/java/junit/tests/runner/BaseTestRunnerTest.java,3,3,113
src/main/java/org/junit/Assume.java,12,21,568
src/main/java/org/junit/internal/runners/SuiteMethod.java,2,2,38
src/main/java/org/junit/internal/runners/statements/Fail.java,3,3,25
src/main/java/org/junit/runner/JUnitCommandLineParseResult.java,2,2,103
src/test/java/junit/samples/money/package-info.java,0,0,0
src/test/java/org/junit/tests/experimental/categories/CategoryTest.java,6,19,1851
src/main/java/org/junit/experimental/categories/CategoryValidator.java,2,5,60
src/main/java/junit/framework/JUnit4TestAdapter.java,3,9,279
src/main/java/org/junit/After.java,4,5,21
src/main/java/org/junit/experimental/max/MaxHistory.java,5,27,1087
src/test/java/org/junit/tests/experimental/theories/runner/UnsuccessfulWithDataPointFields.java,7,21,550
src/main/java/org/junit/rules/TestRule.java,4,10,199
src/test/java/org/junit/tests/description/AnnotatedDescriptionTest.java,2,2,167
src/main/java/org/junit/validator/AnnotationsValidator.java,1,2,122
src/test/java/org/junit/tests/running/classes/BlockJUnit4ClassRunnerTest.java,2,2,73
src/test/java/org/junit/tests/experimental/max/MaxStarterTest.java,6,39,1828
src/test/java/org/junit/tests/running/core/JUnitCoreReturnsCorrectExitCodeTest.java,2,2,82
src/test/java/org/junit/tests/running/core/MainRunner.java,3,4,829
src/main/java/org/junit/internal/runners/ClassRoadie.java,4,5,285
src/main/java/org/junit/internal/ComparisonCriteria.java,3,10,353
src/main/java/org/junit/internal/matchers/ThrowableCauseMatcher.java,4,4,130
src/test/java/junit/samples/AllTests.java,1,1,22
src/main/java/org/junit/rules/DisableOnDebug.java,1,1,127
src/test/java/org/junit/internal/builders/AnnotatedBuilderTest.java,1,1,107
src/test/java/org/junit/internal/matchers/ThrowableCauseMatcherTest.java,1,1,18
src/main/java/org/junit/validator/PublicClassValidator.java,1,1,33
src/main/java/org/junit/rules/ExpectedException.java,13,43,1070
src/test/java/junit/tests/framework/NoTestCases.java,1,1,8
src/test/java/org/junit/tests/experimental/rules/TestRuleTest.java,8,16,2255
src/main/java/org/junit/runners/model/RunnerBuilder.java,3,4,176
src/main/java/org/junit/runner/Description.java,16,43,1223
src/main/java/junit/textui/ResultPrinter.java,2,2,246
src/test/java/org/junit/runners/model/TestClassTest.java,3,5,249
src/test/java/org/junit/tests/experimental/theories/runner/WithAutoGeneratedDataPoints.java,1,1,71
src/main/java/org/junit/internal/requests/FilterRequest.java,5,5,93
src/test/java/org/junit/tests/experimental/theories/runner/FailingDataPointMethods.java,1,1,136
src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StubbedTheoriesTest.java,1,1,2
src/test/java/org/junit/tests/experimental/rules/ExternalResourceRuleTest.java,2,2,62
src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java,4,7,457
src/main/java/org/junit/internal/runners/TestMethod.java,3,4,221
src/main/java/org/junit/internal/Throwables.java,1,2,48
src/test/java/org/junit/experimental/categories/CategoryFilterFactoryTest.java,4,8,210
src/main/java/org/junit/runner/manipulation/Sortable.java,2,2,13
src/main/java/org/junit/validator/AnnotationValidatorFactory.java,2,3,14
src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,6,8,208
src/test/java/junit/samples/SimpleTest.java,2,2,110
src/main/java/org/junit/Test.java,7,7,110
src/test/java/org/junit/tests/manipulation/FilterTest.java,3,3,128
src/test/java/org/junit/tests/manipulation/SortableTest.java,2,2,316
src/main/java/org/junit/internal/requests/SortingRequest.java,2,2,36
src/test/java/junit/tests/framework/TestListenerTest.java,3,3,134
src/main/java/junit/framework/JUnit4TestAdapterCache.java,3,6,452
src/main/java/org/junit/internal/builders/JUnit3Builder.java,3,3,45
src/test/java/org/junit/tests/experimental/theories/PotentialAssignmentTest.java,1,2,151
src/test/java/org/junit/tests/running/methods/ExpectedTest.java,1,1,104
src/main/java/org/junit/rules/Timeout.java,9,21,471
src/test/java/org/junit/runners/parameterized/ParameterizedNamesTest.java,1,1,52
src/test/java/org/junit/tests/validation/FailedConstructionTest.java,1,1,30
src/test/java/junit/tests/framework/AllTests.java,2,2,42
src/main/java/org/junit/experimental/theories/DataPoints.java,2,7,83
src/test/java/junit/tests/framework/package-info.java,0,0,0
src/test/java/org/junit/tests/experimental/categories/MultiCategoryTest.java,1,1,171
src/main/java/org/junit/experimental/categories/Categories.java,10,32,1454
src/main/java/junit/extensions/ActiveTestSuite.java,1,1,108
src/main/java/junit/extensions/TestSetup.java,1,1,50
src/main/java/org/junit/experimental/categories/ExcludeCategories.java,3,8,182
src/test/java/junit/tests/framework/NoArgTestCaseTest.java,1,1,5
src/test/java/org/junit/tests/experimental/rules/NameRulesTest.java,2,3,121
src/test/java/org/junit/tests/experimental/theories/runner/TheoriesPerformanceTest.java,2,4,80
src/main/java/org/junit/internal/builders/IgnoredBuilder.java,3,3,35
src/test/java/org/junit/tests/running/classes/EnclosedTest.java,3,5,174
src/test/java/org/junit/tests/experimental/max/JUnit38SortingTest.java,3,8,153
src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java,5,6,113
src/main/java/org/junit/Before.java,5,7,26
src/test/java/org/junit/tests/package-info.java,1,1,2
src/test/java/org/junit/tests/junit3compatibility/OldTestClassAdaptingListenerTest.java,2,3,35
src/test/java/org/junit/tests/experimental/categories/CategoriesAndParameterizedTest.java,2,3,357
src/test/java/junit/samples/money/MoneyTest.java,1,1,297
src/test/java/org/junit/tests/experimental/rules/TemporaryFolderUsageTest.java,5,9,673
src/main/java/org/junit/internal/runners/statements/RunBefores.java,4,5,68
src/main/java/org/junit/rules/MethodRule.java,5,7,68
src/main/java/org/junit/runner/notification/Failure.java,8,11,212
src/main/java/org/junit/runners/model/InitializationError.java,8,10,142
src/main/java/org/junit/internal/Classes.java,0,0,0
src/main/java/org/junit/rules/Verifier.java,5,10,68
src/main/java/org/junit/runners/model/FrameworkField.java,8,22,280
src/test/java/org/junit/tests/experimental/theories/runner/WithParameterSupplier.java,1,3,189
src/test/java/org/junit/tests/running/core/CommandLineTest.java,2,2,113
src/main/java/org/junit/experimental/theories/DataPoint.java,1,5,67
src/test/java/org/junit/internal/MethodSorterTest.java,6,27,680
src/test/java/org/junit/validator/PublicClassValidatorTest.java,1,1,41
src/test/java/org/junit/tests/deprecated/JUnit4ClassRunnerTest.java,3,6,268
src/main/java/org/junit/runner/Computer.java,4,9,108
