src\main\java\junit\framework\JUnit4TestAdapter.java,src\main\java\org\junit\runner\Request.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\main\java\org\junit\runner\Runner.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\junit\tests\framework\SuiteTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\AllTests.java,2
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\assertion\AssertionTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\description\AnnotatedDescriptionTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\experimental\AssumptionTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,4
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\manipulation\SingleMethodTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\manipulation\SortableTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\test\java\org\junit\tests\running\methods\TimeoutTest.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\main\java\org\junit\experimental\max\MaxCore.java,1
src\main\java\junit\framework\JUnit4TestAdapter.java,src\main\java\org\junit\rules\ExternalResource.java,1
src\main\java\junit\framework\Test.java,src\main\java\junit\framework\TestCase.java,2
src\main\java\junit\framework\Test.java,src\main\java\junit\framework\TestSuite.java,2
src\main\java\junit\framework\Test.java,src\main\java\junit\runner\Version.java,1
src\main\java\junit\framework\Test.java,src\test\java\junit\tests\extensions\ExtensionTest.java,2
src\main\java\junit\framework\Test.java,src\test\java\junit\tests\framework\SuiteTest.java,2
src\main\java\junit\framework\Test.java,src\test\java\junit\tests\framework\TestCaseTest.java,2
src\main\java\junit\framework\Test.java,src\test\java\junit\tests\framework\TestImplementorTest.java,1
src\main\java\junit\framework\TestCase.java,src\main\java\junit\framework\TestSuite.java,2
src\main\java\junit\framework\TestCase.java,src\main\java\junit\runner\BaseTestRunner.java,1
src\main\java\junit\framework\TestCase.java,src\main\java\junit\runner\Version.java,2
src\main\java\junit\framework\TestCase.java,src\main\java\junit\textui\TestRunner.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\extensions\ExtensionTest.java,2
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\framework\AssertTest.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\framework\SuiteTest.java,2
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\framework\TestCaseTest.java,4
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\framework\TestImplementorTest.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\runner\AllTests.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\runner\BaseTestRunnerTest.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\runner\TextRunnerSingleMethodTest.java,1
src\main\java\junit\framework\TestCase.java,src\test\java\junit\tests\runner\TextRunnerTest.java,1
src\main\java\junit\framework\TestFailure.java,src\main\java\junit\runner\BaseTestRunner.java,1
src\main\java\junit\framework\TestFailure.java,src\main\java\junit\textui\ResultPrinter.java,1
src\main\java\junit\framework\TestFailure.java,src\main\java\junit\textui\TestRunner.java,2
src\main\java\junit\framework\TestFailure.java,src\test\java\junit\tests\framework\SuiteTest.java,1
src\main\java\junit\framework\TestFailure.java,src\test\java\junit\tests\runner\StackFilterTest.java,1
src\main\java\junit\framework\TestFailure.java,src\test\java\junit\tests\runner\TextFeedbackTest.java,1
src\main\java\junit\framework\TestResult.java,src\main\java\junit\runner\BaseTestRunner.java,1
src\main\java\junit\framework\TestResult.java,src\main\java\junit\textui\TestRunner.java,2
src\main\java\junit\framework\TestResult.java,src\test\java\junit\tests\AllTests.java,1
src\main\java\junit\framework\TestResult.java,src\test\java\junit\tests\framework\TestImplementorTest.java,1
src\main\java\junit\framework\TestResult.java,src\test\java\junit\tests\runner\StackFilterTest.java,1
src\main\java\junit\framework\TestSuite.java,src\main\java\junit\runner\BaseTestRunner.java,1
src\main\java\junit\framework\TestSuite.java,src\main\java\junit\runner\Version.java,2
src\main\java\junit\framework\TestSuite.java,src\main\java\org\junit\internal\runners\JUnit38ClassRunner.java,1
src\main\java\junit\framework\TestSuite.java,src\test\java\junit\tests\extensions\ExtensionTest.java,2
src\main\java\junit\framework\TestSuite.java,src\test\java\junit\tests\framework\AssertTest.java,1
src\main\java\junit\framework\TestSuite.java,src\test\java\junit\tests\framework\SuiteTest.java,7
src\main\java\junit\framework\TestSuite.java,src\test\java\junit\tests\framework\TestCaseTest.java,2
src\main\java\junit\framework\TestSuite.java,src\test\java\junit\tests\framework\TestImplementorTest.java,1
src\main\java\junit\framework\TestSuite.java,src\test\java\org\junit\tests\junit3compatibility\JUnit38ClassRunnerTest.java,1
